time_of_day,day_of_week,vehicle_count,weather,road_type,traffic_level
5,3,30,0,0,Low
7,0,242,0,0,High
4,5,12,3,0,Low
17,2,228,2,0,High
1,3,11,3,0,Low
8,1,215,3,0,High
19,6,117,3,1,Medium
23,5,86,2,1,Medium
1,4,20,2,0,Low
6,4,143,1,1,High
17,5,161,1,1,High
23,5,83,3,0,Low
13,6,121,3,0,Medium
0,4,5,3,1,Low
12,2,125,3,2,Medium
7,2,262,1,2,High
5,3,6,3,0,Low
6,5,84,3,2,Low
8,5,96,2,1,Medium
19,6,105,3,2,Medium
10,0,269,0,2,High
18,5,182,1,1,High
7,4,133,2,2,Medium
5,6,5,0,2,Low
12,4,78,3,2,Low
11,6,110,3,2,Medium
21,2,79,0,1,Medium
19,5,141,2,0,Medium
0,0,5,1,0,Low
7,4,125,3,2,Medium
2,4,5,2,0,Low
6,3,71,2,1,Low
12,2,175,0,0,High
19,6,192,0,0,High
18,3,217,3,1,High
18,1,220,2,2,High
8,3,216,3,2,High
18,3,188,2,2,High
10,1,202,1,2,High
1,2,5,2,1,Low
2,2,5,3,1,Low
6,4,46,3,0,Low
5,5,48,3,2,Low
20,0,285,0,0,High
10,0,157,2,1,High
21,0,87,2,0,Low
10,6,117,0,1,Medium
18,0,195,3,1,High
16,2,61,3,1,Low
12,6,182,1,0,High
9,2,211,2,0,High
22,0,67,1,2,Low
17,0,180,0,1,High
15,4,113,1,1,Medium
0,3,5,0,1,Low
3,2,5,1,1,Low
6,5,159,1,0,Medium
7,4,174,3,2,Medium
19,2,169,2,2,Medium
17,3,152,3,0,Medium
14,2,111,2,2,Medium
16,6,147,3,1,High
6,0,54,3,1,Low
10,1,142,3,1,High
20,6,73,2,0,Low
22,1,142,0,1,High
7,5,92,2,0,Low
4,5,21,0,1,Low
4,3,44,1,1,Low
8,5,125,0,2,Medium
10,5,104,0,2,Medium
20,3,173,1,1,High
10,1,158,3,1,High
11,2,31,2,1,Low
17,3,280,0,1,High
21,1,58,3,2,Low
22,0,75,0,2,Low
13,6,100,3,2,Medium
12,5,118,3,0,Medium
9,2,140,2,1,High
14,2,110,2,1,Medium
2,5,14,3,2,Low
18,2,212,3,2,High
3,2,9,0,2,Low
15,4,81,2,0,Low
12,4,115,0,2,Medium
5,1,51,0,1,Low
4,3,40,0,1,Low
7,0,190,0,1,High
16,3,147,1,1,High
3,0,29,2,2,Low
4,2,34,0,1,Low
13,3,181,1,2,High
18,2,152,3,2,Medium
19,3,309,0,1,High
2,1,12,3,1,Low
15,6,81,1,0,Low
19,5,147,1,2,Medium
9,6,122,0,1,Medium
14,4,159,1,2,Medium
18,2,196,2,0,High
13,5,201,0,0,High
22,5,80,2,1,Medium
11,6,78,3,2,Low
19,4,226,1,0,High
2,1,28,2,2,Low
12,5,105,2,1,Medium
15,2,52,3,0,Low
11,6,142,2,1,High
7,4,224,0,0,High
22,2,84,3,2,Low
22,5,104,0,2,Medium
14,0,143,0,0,Medium
12,3,180,1,2,High
18,1,188,2,1,High
5,2,30,0,0,Low
7,4,260,0,0,High
4,5,47,0,0,Low
1,0,5,1,1,Low
5,5,5,0,2,Low
7,2,234,2,0,High
23,2,64,1,0,Low
3,0,37,0,0,Low
15,1,70,0,2,Low
15,5,89,2,0,Low
18,0,215,1,2,High
12,5,184,0,1,High
6,6,111,1,1,Medium
23,3,47,0,0,Low
7,0,183,0,0,High
16,6,94,2,0,Low
22,4,71,3,2,Low
1,4,19,0,1,Low
8,2,185,3,2,High
20,2,176,2,0,High
3,4,5,3,0,Low
19,6,142,1,1,High
6,6,106,0,2,Medium
18,4,232,2,2,High
17,3,208,3,2,High
1,0,48,0,1,Low
22,5,125,2,1,Medium
21,3,91,3,0,Low
18,5,84,2,1,Medium
8,3,244,2,0,High
22,5,100,0,2,Medium
18,0,321,0,2,High
18,1,152,3,2,Medium
12,4,113,2,2,Medium
3,0,7,1,1,Low
22,0,88,1,2,Low
2,2,18,1,0,Low
15,4,95,1,2,Low
18,3,154,3,1,High
8,4,224,0,0,High
23,5,83,3,2,Low
7,6,137,2,0,Medium
5,6,26,3,2,Low
20,0,300,1,2,High
8,2,249,2,0,High
4,2,15,3,2,Low
15,4,69,0,2,Low
19,6,191,1,1,High
14,6,158,1,2,Medium
3,6,25,3,2,Low
12,0,155,1,0,Medium
19,0,212,0,0,High
11,5,152,0,0,Medium
22,6,91,3,0,Low
13,2,179,1,1,High
19,4,220,0,0,High
4,1,11,1,0,Low
22,1,73,3,0,Low
5,0,5,2,0,Low
19,2,276,0,0,High
4,1,30,0,1,Low
3,5,26,3,1,Low
22,4,53,1,2,Low
0,6,6,0,0,Low
3,4,43,1,2,Low
9,0,187,2,1,High
1,6,51,1,1,Low
12,1,175,1,0,High
9,0,169,2,1,High
1,1,5,3,2,Low
9,6,97,3,1,Medium
3,5,28,0,1,Low
13,0,112,2,2,Medium
19,2,266,1,0,High
16,6,152,2,2,Medium
21,2,73,3,1,Low
9,1,231,0,2,High
17,6,115,1,0,Medium
22,0,86,2,1,Medium
2,6,40,2,0,Low
17,4,262,0,0,High
4,0,20,2,0,Low
20,3,213,2,0,High
15,3,135,0,1,High
16,0,68,2,2,Low
20,6,106,3,2,Medium
12,3,116,1,1,Medium
18,1,281,1,1,High
11,5,148,1,0,Medium
21,6,152,0,1,High
17,5,109,0,0,Medium
12,6,125,2,2,Medium
14,3,184,0,2,High
4,4,27,1,2,Low
22,5,96,2,1,Medium
2,6,35,2,2,Low
0,0,5,0,2,Low
17,2,143,2,0,Medium
19,5,131,2,1,High
1,5,21,3,0,Low
9,2,167,2,2,Medium
23,0,82,3,2,Low
16,5,96,2,1,Medium
3,1,14,2,0,Low
22,3,113,1,2,Medium
4,2,42,0,1,Low
13,0,152,0,0,Medium
23,0,73,3,0,Low
15,5,109,3,1,Medium
20,1,158,2,0,Medium
12,0,156,1,1,High
16,0,88,1,0,Low
3,1,5,2,2,Low
14,2,113,2,0,Medium
19,1,235,0,1,High
16,1,15,3,0,Low
0,1,16,2,0,Low
16,6,113,2,2,Medium
2,3,27,3,0,Low
13,3,96,3,0,Low
16,0,124,1,1,Medium
7,4,153,2,1,High
15,6,132,0,1,High
13,6,158,0,1,High
2,3,6,3,0,Low
1,5,11,3,1,Low
11,0,75,0,1,Medium
15,3,85,3,1,Medium
14,4,112,2,0,Medium
19,3,143,2,1,High
7,1,129,3,1,Medium
1,3,5,0,1,Low
3,5,48,1,2,Low
6,2,124,1,2,Medium
4,6,5,2,0,Low
2,1,24,0,2,Low
14,2,136,0,1,High
20,4,209,0,2,High
9,4,146,2,2,Medium
9,3,297,1,2,High
8,1,173,1,0,Medium
18,0,151,3,2,Medium
12,1,115,1,0,Medium
4,2,22,1,0,Low
5,4,5,2,2,Low
1,1,16,2,0,Low
20,3,192,3,0,High
13,5,158,1,0,Medium
17,5,61,2,2,Low
0,1,44,1,1,Low
9,6,86,1,1,Medium
18,1,181,1,2,High
20,5,126,0,0,Medium
0,2,22,1,0,Low
15,1,102,2,1,Medium
9,1,210,0,2,High
19,5,79,2,0,Low
7,0,218,0,1,High
0,4,42,1,2,Low
23,4,61,1,0,Low
19,0,202,2,1,High
3,0,5,2,0,Low
9,2,266,1,0,High
22,2,64,1,0,Low
1,4,9,0,1,Low
21,4,46,2,0,Low
7,2,231,1,1,High
10,3,190,3,1,High
21,3,61,1,2,Low
23,3,48,3,2,Low
14,4,158,0,0,Medium
8,4,210,1,1,High
23,6,107,2,2,Medium
3,4,5,1,0,Low
11,1,80,0,0,Low
20,4,293,0,0,High
7,4,163,2,2,Medium
3,6,47,0,1,Low
11,1,49,0,0,Low
4,5,31,3,1,Low
4,1,30,1,1,Low
9,4,164,3,1,High
9,5,66,3,0,Low
23,0,57,3,0,Low
10,0,138,2,1,High
18,5,60,2,1,Low
17,3,273,0,2,High
3,4,35,2,0,Low
2,5,46,2,0,Low
13,3,188,0,0,High
14,3,133,1,0,Medium
16,2,98,2,2,Low
21,6,163,1,0,Medium
22,5,86,3,0,Low
3,6,36,2,1,Low
22,5,119,2,2,Medium
7,2,189,2,1,High
16,3,120,1,0,Medium
3,5,5,3,1,Low
21,0,89,1,1,Medium
22,4,73,3,2,Low
22,5,114,0,2,Medium
15,4,95,0,2,Low
4,4,6,2,1,Low
3,3,25,3,2,Low
20,3,188,2,1,High
22,1,53,3,1,Low
6,4,76,1,1,Medium
18,4,219,3,0,High
6,5,197,0,1,High
8,0,241,0,1,High
19,4,155,3,1,High
3,1,25,0,0,Low
10,0,184,3,1,High
5,0,26,0,2,Low
15,5,116,2,1,Medium
4,4,13,1,2,Low
18,0,208,0,0,High
20,2,233,0,2,High
5,4,26,2,0,Low
23,6,98,3,2,Low
16,6,148,0,0,Medium
18,6,147,1,2,Medium
19,0,212,0,2,High
3,2,5,0,0,Low
16,6,77,3,0,Low
4,5,5,3,0,Low
18,5,124,0,1,Medium
11,1,138,0,1,High
22,0,69,0,2,Low
14,3,103,3,0,Medium
18,4,214,3,0,High
12,0,184,1,2,High
6,3,106,1,1,Medium
17,2,223,2,0,High
11,5,81,2,1,Medium
3,1,5,3,1,Low
13,6,89,2,2,Low
3,6,8,3,0,Low
1,2,32,1,1,Low
15,3,87,0,1,Medium
14,0,181,0,2,High
11,1,108,0,1,Medium
11,6,152,1,1,High
11,1,131,0,2,Medium
18,3,247,2,2,High
5,1,56,1,0,Low
14,5,128,1,1,Medium
2,5,5,1,1,Low
15,0,76,2,0,Low
9,6,78,3,0,Low
18,4,139,3,1,High
12,2,121,0,1,Medium
2,2,42,3,0,Low
15,5,136,2,2,Medium
7,4,166,3,1,High
5,0,18,3,0,Low
8,1,207,0,0,High
19,3,224,2,2,High
14,2,132,2,2,Medium
23,4,52,3,2,Low
8,0,178,0,0,High
23,1,84,0,0,Low
12,2,87,2,0,Low
20,1,238,1,1,High
10,4,180,2,0,High
8,6,87,3,0,Low
11,6,94,2,0,Low
5,4,20,2,2,Low
1,5,36,3,0,Low
7,4,225,0,0,High
14,4,139,2,1,High
18,6,133,3,1,High
15,3,82,1,2,Low
2,1,10,3,1,Low
8,2,284,0,2,High
12,3,142,3,0,Medium
6,1,104,2,0,Medium
4,6,19,3,1,Low
15,6,128,2,0,Medium
21,4,71,1,2,Low
2,4,37,3,2,Low
10,2,223,0,0,High
5,5,25,1,2,Low
14,1,158,2,0,Medium
2,6,5,3,2,Low
10,5,82,3,2,Low
17,5,91,3,0,Low
4,0,19,1,1,Low
17,3,214,3,1,High
14,5,69,3,0,Low
4,5,44,1,0,Low
5,6,5,3,1,Low
14,2,105,3,0,Medium
2,3,5,2,2,Low
22,2,109,0,1,Medium
5,1,14,1,1,Low
7,0,255,0,2,High
20,2,268,1,2,High
7,1,296,1,2,High
15,0,49,2,1,Low
21,3,59,3,0,Low
6,6,181,0,0,High
15,5,133,2,1,High
23,4,128,1,0,Medium
10,3,169,3,2,Medium
9,6,136,1,0,Medium
1,0,6,0,0,Low
22,1,85,1,0,Low
5,4,5,1,1,Low
22,1,57,3,1,Low
6,3,110,0,0,Medium
20,3,315,0,1,High
2,5,18,2,2,Low
11,4,117,1,0,Medium
9,2,171,3,2,Medium
15,6,75,0,1,Medium
14,1,92,2,2,Low
10,1,236,1,2,High
17,6,81,2,2,Low
11,6,133,0,1,High
15,6,166,1,0,Medium
3,3,46,1,0,Low
12,0,114,3,2,Medium
22,0,70,3,1,Low
4,2,51,1,2,Low
3,3,39,3,0,Low
15,0,115,1,1,Medium
3,3,27,2,2,Low
20,0,195,3,2,High
13,0,187,0,1,High
13,2,190,0,2,High
14,2,105,3,1,Medium
4,1,5,3,0,Low
22,3,126,2,0,Medium
9,2,240,0,0,High
8,0,191,0,1,High
17,5,111,0,2,Medium
14,4,146,3,1,High
11,6,49,3,2,Low
18,1,265,1,1,High
12,1,161,1,1,High
5,4,19,3,2,Low
19,4,186,3,1,High
21,4,67,2,0,Low
0,5,16,2,1,Low
2,1,17,0,0,Low
1,5,5,2,1,Low
18,4,197,2,2,High
8,1,238,0,1,High
11,6,186,1,1,High
4,1,37,1,1,Low
4,5,5,2,2,Low
12,2,123,1,0,Medium
10,3,207,1,0,High
16,3,67,1,2,Low
3,3,58,1,1,Low
10,6,105,0,1,Medium
14,0,92,2,0,Low
10,6,124,3,2,Medium
7,1,238,2,1,High
9,4,166,2,0,Medium
4,2,17,0,2,Low
6,1,109,3,0,Medium
4,5,33,2,0,Low
10,6,131,0,2,Medium
20,5,135,1,0,Medium
15,0,79,0,1,Medium
5,5,20,1,1,Low
8,3,244,1,0,High
5,5,10,1,1,Low
6,3,59,2,1,Low
15,6,111,3,1,Medium
20,0,227,1,0,High
14,3,140,1,0,Medium
18,1,268,1,2,High
9,2,250,1,2,High
18,2,248,1,2,High
4,2,5,2,0,Low
4,0,19,2,2,Low
11,4,110,0,1,Medium
15,2,132,1,2,Medium
2,5,5,2,2,Low
16,2,132,1,2,Medium
18,1,266,0,2,High
15,0,55,0,2,Low
5,6,5,0,0,Low
9,2,233,1,2,High
12,0,107,2,2,Medium
11,6,90,3,1,Medium
22,5,159,0,0,Medium
4,2,5,2,0,Low
0,6,43,1,1,Low
10,6,125,0,1,Medium
1,6,28,0,0,Low
20,4,187,3,2,High
19,1,221,0,1,High
5,0,12,0,2,Low
18,4,223,0,2,High
18,2,143,3,1,High
21,6,113,0,0,Medium
20,3,241,2,0,High
21,0,73,3,1,Low
19,3,308,0,0,High
13,5,97,3,2,Low
7,1,215,2,1,High
17,6,85,3,0,Low
21,0,95,1,1,Medium
6,3,104,1,0,Medium
2,1,15,1,0,Low
14,0,131,0,0,Medium
22,0,79,2,0,Low
19,5,105,2,0,Medium
17,6,135,1,1,High
7,1,202,0,0,High
18,2,320,1,2,High
1,3,12,0,1,Low
20,2,209,2,1,High
16,6,87,3,2,Low
11,2,121,0,0,Medium
3,0,5,3,0,Low
19,0,293,1,0,High
2,3,12,1,2,Low
4,5,38,0,1,Low
13,1,170,1,2,Medium
23,2,46,2,0,Low
7,3,201,3,1,High
12,6,150,1,2,Medium
19,1,226,1,1,High
8,3,229,2,1,High
18,5,137,0,2,Medium
16,6,116,3,1,Medium
11,6,92,2,2,Low
17,2,262,1,1,High
19,3,224,1,1,High
18,2,140,3,1,High
10,4,217,1,2,High
21,1,71,2,0,Low
11,2,134,0,2,Medium
10,6,116,0,0,Medium
14,2,116,3,1,Medium
17,6,95,0,0,Low
13,0,165,0,2,Medium
20,1,284,1,0,High
16,2,45,2,1,Low
13,2,105,3,0,Medium
14,6,130,0,0,Medium
13,3,171,1,0,Medium
5,2,13,3,1,Low
23,4,75,3,1,Medium
14,6,92,2,1,Medium
17,3,209,3,0,High
7,3,224,2,2,High
10,5,133,1,2,Medium
17,5,124,1,1,Medium
3,2,48,3,0,Low
1,5,32,3,2,Low
1,6,14,2,2,Low
20,1,289,1,1,High
15,0,46,2,1,Low
2,3,12,2,2,Low
15,3,47,2,2,Low
6,5,91,1,1,Medium
15,2,121,1,0,Medium
9,0,199,3,1,High
18,6,139,2,2,Medium
7,1,164,2,2,Medium
20,2,204,2,1,High
9,2,193,1,1,High
8,1,189,2,1,High
10,2,167,3,0,Medium
8,6,171,1,0,Medium
11,6,111,3,0,Medium
14,5,102,3,2,Medium
0,2,5,3,0,Low
16,5,99,3,0,Low
8,6,120,2,1,Medium
20,5,56,3,1,Low
22,5,90,3,1,Medium
10,6,133,2,2,Medium
5,5,46,0,2,Low
1,6,21,3,2,Low
14,5,96,3,1,Medium
16,4,107,0,0,Medium
4,1,5,1,2,Low
19,0,145,2,1,High
8,0,176,0,2,High
9,0,253,0,0,High
21,3,121,2,0,Medium
23,0,44,3,1,Low
11,2,112,0,2,Medium
6,5,152,0,2,Medium
6,3,102,2,2,Medium
9,5,128,3,1,Medium
1,4,39,0,2,Low
23,3,72,0,1,Low
17,3,147,3,2,Medium
7,6,112,0,1,Medium
8,6,124,3,1,Medium
12,6,161,0,0,Medium
15,1,35,2,1,Low
10,0,198,2,2,High
6,5,124,3,2,Medium
6,4,41,2,1,Low
19,2,286,0,1,High
11,5,94,1,2,Low
9,4,296,0,2,High
19,0,198,3,2,High
5,5,40,0,0,Low
11,3,38,3,2,Low
8,6,96,1,0,Low
5,1,35,3,2,Low
5,5,5,0,1,Low
15,0,76,3,1,Medium
9,0,169,3,0,Medium
19,4,205,2,0,High
15,5,135,1,1,High
19,2,250,1,2,High
1,2,53,1,0,Low
1,1,42,2,1,Low
23,6,127,1,0,Medium
5,3,25,1,0,Low
9,2,174,3,1,High
16,3,54,2,2,Low
10,5,172,1,2,Medium
1,3,11,0,0,Low
7,2,183,2,1,High
14,5,141,3,1,High
10,6,89,3,0,Low
9,6,113,1,2,Medium
3,4,10,0,2,Low
9,0,257,0,1,High
6,1,74,3,2,Low
2,6,8,3,0,Low
18,1,267,0,2,High
0,3,20,1,2,Low
12,6,119,1,2,Medium
1,6,5,3,2,Low
15,6,165,0,0,Medium
11,3,37,2,2,Low
4,1,13,0,1,Low
5,4,5,1,2,Low
10,4,193,2,2,High
3,1,43,1,0,Low
6,0,99,0,0,Low
17,1,175,3,2,High
12,4,96,3,0,Low
17,0,271,1,2,High
22,5,106,0,0,Medium
21,4,37,0,1,Low
3,5,22,3,0,Low
22,0,87,1,2,Low
0,5,37,3,0,Low
15,5,108,3,0,Medium
23,2,109,0,2,Medium
21,3,96,1,1,Medium
16,2,59,0,0,Low
12,2,120,0,1,Medium
14,2,124,2,0,Medium
11,3,58,3,0,Low
7,0,260,0,0,High
10,0,237,0,1,High
10,3,203,1,2,High
12,4,149,1,0,Medium
21,0,93,3,0,Low
7,2,183,3,1,High
9,0,136,3,1,High
5,2,5,3,1,Low
3,3,5,2,0,Low
8,1,162,3,0,Medium
9,3,171,1,1,High
10,6,130,1,2,Medium
14,4,130,3,1,High
17,1,161,2,2,Medium
19,0,199,3,1,High
1,2,50,1,2,Low
4,2,5,0,1,Low
1,4,13,3,0,Low
23,3,52,2,1,Low
0,5,16,1,0,Low
3,4,5,2,2,Low
23,4,32,3,1,Low
15,5,173,1,0,Medium
10,4,250,0,0,High
9,3,166,0,2,Medium
9,5,95,3,2,Low
9,1,208,2,0,High
1,0,12,1,2,Low
8,5,113,1,1,Medium
8,3,293,0,2,High
12,3,133,0,0,Medium
11,1,84,2,2,Low
18,5,117,2,2,Medium
15,0,123,2,0,Medium
16,1,133,1,1,High
1,5,9,2,1,Low
23,3,123,0,0,Medium
23,1,71,3,0,Low
8,3,215,2,0,High
0,1,28,0,0,Low
4,0,8,1,1,Low
23,6,140,3,0,Medium
5,6,36,1,2,Low
0,2,33,3,1,Low
1,0,28,1,0,Low
3,4,54,2,1,Low
20,3,184,3,1,High
11,2,78,3,1,Medium
17,1,246,1,2,High
6,4,52,0,2,Low
9,6,144,0,1,High
1,6,5,0,1,Low
12,0,152,0,2,Medium
22,4,42,2,0,Low
10,3,245,1,2,High
16,6,92,0,1,Medium
12,2,154,1,0,Medium
16,2,50,3,0,Low
0,3,5,3,1,Low
8,5,117,2,1,Medium
9,5,95,1,1,Medium
1,1,30,3,0,Low
17,4,173,2,0,Medium
9,5,129,0,1,Medium
5,2,13,2,0,Low
20,1,271,0,1,High
8,5,85,2,2,Low
5,5,7,3,1,Low
18,0,267,1,2,High
15,5,160,0,2,Medium
23,5,120,0,2,Medium
9,0,145,3,2,Medium
1,1,9,3,0,Low
2,0,31,0,2,Low
21,1,88,3,2,Low
1,5,33,3,1,Low
8,0,212,0,1,High
2,5,5,1,2,Low
5,3,29,0,0,Low
1,2,10,0,0,Low
17,3,205,2,1,High
21,6,139,1,1,High
18,3,111,3,2,Medium
11,6,94,1,0,Low
18,0,196,1,1,High
4,2,5,3,2,Low
3,2,41,3,1,Low
15,2,114,0,2,Medium
3,3,42,0,0,Low
9,4,160,2,1,High
18,0,249,0,0,High
20,1,262,1,1,High
8,0,285,1,0,High
14,0,168,0,1,High
14,1,104,0,2,Medium
11,3,116,3,1,Medium
10,0,177,2,1,High
11,6,178,1,2,High
13,5,170,0,0,Medium
6,6,106,3,1,Medium
13,0,153,1,2,Medium
19,5,96,3,0,Low
21,3,83,0,0,Low
1,0,5,2,0,Low
15,5,94,3,0,Low
0,5,24,2,1,Low
17,6,140,0,1,High
16,6,148,2,0,Medium
10,0,265,0,2,High
14,2,116,2,0,Medium
4,2,6,0,1,Low
22,6,69,2,0,Low
12,3,141,2,2,Medium
5,3,5,0,1,Low
7,6,150,0,2,Medium
13,3,139,0,2,Medium
19,5,150,0,0,Medium
17,5,100,3,0,Medium
11,4,101,0,2,Medium
17,5,101,2,0,Medium
0,0,5,0,2,Low
4,0,5,2,2,Low
21,5,79,1,0,Low
13,0,124,1,1,Medium
14,3,121,3,1,Medium
22,6,75,2,1,Medium
9,2,207,2,0,High
22,3,97,1,2,Low
0,0,33,1,0,Low
19,6,106,0,1,Medium
12,2,93,2,1,Medium
8,2,163,3,0,Medium
0,0,36,2,1,Low
17,6,173,1,2,Medium
11,4,122,1,2,Medium
14,6,89,2,1,Medium
15,4,51,2,1,Low
17,2,208,2,0,High
23,3,57,3,2,Low
9,4,188,3,2,High
7,3,237,1,2,High
0,5,5,0,0,Low
17,1,166,3,1,High
22,5,165,1,2,Medium
8,6,60,2,0,Low
2,0,44,0,2,Low
2,6,24,3,1,Low
19,2,282,0,2,High
14,5,89,2,2,Low
19,0,227,0,1,High
17,3,223,0,2,High
20,2,279,1,1,High
12,2,91,3,2,Low
18,1,301,0,1,High
11,3,49,1,0,Low
11,4,106,0,2,Medium
2,6,52,1,0,Low
5,1,20,3,2,Low
17,5,70,0,0,Low
8,4,165,2,2,Medium
17,2,208,3,2,High
9,5,123,1,0,Medium
4,6,23,2,2,Low
19,1,195,2,1,High
12,5,131,1,0,Medium
4,0,52,0,2,Low
14,5,146,0,2,Medium
8,1,149,3,0,Medium
10,0,172,0,2,Medium
2,5,12,2,1,Low
1,5,52,3,2,Low
23,2,82,0,1,Medium
0,3,22,0,0,Low
17,5,154,1,2,Medium
3,6,5,1,0,Low
10,2,236,1,0,High
21,6,137,1,0,Medium
17,3,268,1,2,High
1,6,25,1,1,Low
20,3,275,0,0,High
0,5,19,0,1,Low
0,4,50,2,0,Low
15,0,33,2,0,Low
23,5,89,0,0,Low
9,1,179,2,0,High
17,1,269,0,0,High
3,4,10,0,0,Low
17,2,173,2,0,Medium
16,1,85,0,1,Medium
0,2,12,2,1,Low
1,0,5,3,0,Low
16,5,108,0,0,Medium
18,2,255,1,1,High
11,5,136,2,0,Medium
20,1,136,3,2,Medium
19,6,186,0,2,High
19,3,299,1,1,High
12,2,158,1,2,Medium
15,2,105,2,0,Medium
2,3,31,3,0,Low
18,1,211,0,0,High
22,1,90,2,0,Low
10,4,231,1,0,High
20,4,254,0,0,High
15,2,143,1,1,High
9,4,280,0,0,High
2,5,5,3,0,Low
8,2,279,0,1,High
17,4,219,2,1,High
10,6,154,0,1,High
0,5,46,3,2,Low
13,6,129,1,0,Medium
5,2,26,0,0,Low
11,6,175,1,1,High
3,2,10,3,2,Low
6,1,55,3,2,Low
0,4,35,2,0,Low
19,2,239,0,0,High
9,6,95,0,1,Medium
14,0,132,3,2,Medium
23,6,129,1,0,Medium
11,0,67,2,2,Low
0,3,8,0,0,Low
16,5,118,1,2,Medium
15,2,41,2,0,Low
20,4,224,2,2,High
8,1,203,2,1,High
8,4,172,2,2,Medium
0,3,43,0,1,Low
16,5,134,1,0,Medium
11,0,78,0,1,Medium
6,0,103,0,0,Medium
15,6,150,0,1,High
23,1,108,0,2,Medium
17,3,210,1,0,High
22,4,63,3,0,Low
6,6,147,1,0,Medium
17,4,234,2,0,High
7,6,117,3,1,Medium
4,5,5,1,1,Low
3,6,44,1,1,Low
7,3,156,3,0,Medium
22,1,82,1,2,Low
0,1,13,0,2,Low
9,2,156,3,1,High
1,0,5,1,0,Low
6,6,199,0,2,High
21,2,87,0,0,Low
7,1,203,0,0,High
0,1,35,2,1,Low
8,1,195,0,1,High
5,3,19,1,2,Low
23,3,82,3,0,Low
0,2,36,0,1,Low
23,5,138,2,0,Medium
22,4,94,3,2,Low
5,3,17,1,1,Low
23,5,147,0,1,High
10,2,196,3,0,High
20,5,163,0,0,Medium
16,3,52,0,0,Low
17,4,141,2,0,Medium
5,0,8,2,0,Low
16,1,90,0,2,Low
2,1,23,0,1,Low
18,1,291,1,0,High
14,1,125,0,0,Medium
14,5,194,0,2,High
5,5,5,2,0,Low
16,4,28,3,2,Low
23,4,48,3,0,Low
0,0,28,1,1,Low
17,1,290,0,2,High
12,0,92,3,1,Medium
4,5,51,2,2,Low
12,4,125,2,2,Medium
12,0,176,1,2,High
16,6,138,1,0,Medium
23,1,84,0,2,Low
7,2,169,0,0,Medium
20,4,169,2,0,Medium
22,6,174,0,0,Medium
8,5,164,0,2,Medium
1,1,5,3,0,Low
12,4,124,2,1,Medium
23,3,92,1,1,Medium
4,4,5,0,2,Low
6,3,102,2,2,Medium
6,1,105,2,2,Medium
7,0,276,0,1,High
18,2,149,3,2,Medium
8,2,210,2,0,High
3,0,5,3,0,Low
4,5,28,2,2,Low
3,6,9,3,2,Low
18,6,103,2,0,Medium
13,6,105,3,1,Medium
15,6,96,0,2,Low
1,4,5,0,0,Low
7,5,122,3,0,Medium
5,6,5,2,0,Low
3,2,5,3,0,Low
15,6,174,1,0,Medium
18,3,171,3,1,High
11,4,79,3,1,Medium
17,0,323,1,0,High
1,1,5,0,0,Low
3,0,46,2,1,Low
13,5,117,0,0,Medium
17,3,147,3,2,Medium
12,6,125,2,0,Medium
16,1,63,3,1,Low
14,6,144,1,1,High
0,4,11,3,0,Low
18,4,202,2,1,High
12,1,162,1,1,High
14,6,161,1,2,Medium
12,4,145,0,0,Medium
3,1,33,2,2,Low
5,5,29,2,0,Low
15,6,107,3,0,Medium
12,6,107,3,0,Medium
17,3,189,2,2,High
16,2,82,3,1,Medium
4,2,38,3,1,Low
10,2,168,2,1,High
6,6,174,1,1,High
10,4,171,3,0,Medium
15,3,70,1,2,Low
20,6,86,2,0,Low
21,5,131,3,0,Medium
2,1,27,0,2,Low
12,2,145,1,1,High
3,0,5,1,1,Low
7,2,216,2,0,High
15,6,185,0,0,High
23,3,104,0,1,Medium
9,1,233,1,2,High
17,2,164,2,0,Medium
16,1,82,2,1,Medium
3,0,6,3,1,Low
16,3,116,2,2,Medium
15,6,145,2,1,High
16,0,91,2,2,Low
21,2,30,3,2,Low
14,4,111,3,2,Medium
22,6,108,0,2,Medium
18,4,212,3,0,High
14,2,68,3,1,Low
14,0,143,2,0,Medium
8,4,241,1,2,High
19,5,106,0,2,Medium
21,3,120,2,2,Medium
2,0,31,1,2,Low
13,3,132,0,2,Medium
22,2,48,2,0,Low
14,6,136,3,1,High
8,0,253,0,0,High
12,5,114,3,1,Medium
1,3,13,2,2,Low
14,5,156,2,1,High
6,5,104,2,1,Medium
3,4,8,3,2,Low
11,4,71,2,0,Low
18,1,287,0,2,High
2,2,34,1,2,Low
8,4,245,0,1,High
21,6,181,0,0,High
7,3,137,3,1,High
2,4,50,1,0,Low
21,4,63,3,2,Low
8,1,237,1,2,High
22,0,76,1,0,Low
9,2,202,0,0,High
23,3,37,3,0,Low
1,0,27,1,0,Low
2,3,5,1,2,Low
5,6,41,1,1,Low
9,6,111,2,1,Medium
19,2,284,1,1,High
7,6,187,1,2,High
20,5,166,2,1,High
5,1,5,2,2,Low
17,1,193,2,2,High
14,6,124,2,0,Medium
11,6,120,0,0,Medium
7,3,267,0,0,High
6,6,90,3,1,Medium
4,0,34,1,2,Low
15,0,98,3,1,Medium
0,1,42,1,0,Low
21,1,53,1,2,Low
9,4,179,0,2,High
17,3,291,0,2,High
5,1,5,3,1,Low
15,3,60,1,0,Low
10,4,170,2,1,High
19,2,253,1,1,High
